jou	乗	kanji	10	polish
no	乗	kanji	10	polish
shou	乗	kanji	10	polish
kame	亀	kanji	10	polish
ki	亀	kanji	10	polish
kin	亀	kanji	10	polish
kyuu	亀	kanji	10	polish
a	亜	kanji	10	polish
tsu	亜	kanji	10	polish
ka	仮	kanji	10	polish
kari	仮	kanji	10	polish
ke	仮	kanji	10	polish
den	伝	kanji	10	polish
duta	伝	kanji	10	polish
ten	伝	kanji	10	polish
tsuda	伝	kanji	10	polish
tsuta	伝	kanji	10	polish
tsute	伝	kanji	10	polish
ken	倹	kanji	10	polish
tsudumayaka	倹	kanji	10	polish
tsuma	倹	kanji	10	polish
to	兎	kanji	10	polish
tsu	兎	kanji	10	polish
usagi	兎	kanji	10	polish
ko	処	kanji	10	polish
o	処	kanji	10	polish
sho	処	kanji	10	polish
tokoro	処	kanji	10	polish
ken	剣	kanji	10	polish
tsurugi	剣	kanji	10	polish
karu	剤	kanji	10	polish
kezu	剤	kanji	10	polish
sei	剤	kanji	10	polish
sui	剤	kanji	10	polish
zai	剤	kanji	10	polish
ama	剰	kanji	10	polish
amatsusae	剰	kanji	10	polish
jou	剰	kanji	10	polish
ki	効	kanji	10	polish
kikime	効	kanji	10	polish
kou	効	kanji	10	polish
nara	効	kanji	10	polish
choku	勅	kanji	10	polish
imashi	勅	kanji	10	polish
mikotonori	勅	kanji	10	polish
kan	勧	kanji	10	polish
ken	勧	kanji	10	polish
susu	勧	kanji	10	polish
isao	勲	kanji	10	polish
kun	勲	kanji	10	polish
gen	厳	kanji	10	polish
gon	厳	kanji	10	polish
ika	厳	kanji	10	polish
itsukushi	厳	kanji	10	polish
kibi	厳	kanji	10	polish
ogoso	厳	kanji	10	polish
go	呉	kanji	10	polish
ku	呉	kanji	10	polish
kure	呉	kanji	10	polish
ju	呪	kanji	10	polish
majina	呪	kanji	10	polish
noro	呪	kanji	10	polish
shu	呪	kanji	10	polish
shuu	呪	kanji	10	polish
zu	呪	kanji	10	polish
a	唖	kanji	10	polish
aku	唖	kanji	10	polish
oshi	唖	kanji	10	polish
ei	営	kanji	10	polish
itona	営	kanji	10	polish
dan	団	kanji	10	polish
katamari	団	kanji	10	polish
maru	団	kanji	10	polish
ton	団	kanji	10	polish
i	囲	kanji	10	polish
kako	囲	kanji	10	polish
kako	圏	kanji	10	polish
ken	圏	kanji	10	polish
