# A167 — 习总关切事 长江村庄 (人民日报/民生)
# persons: 习近平

0001	长江	changjiang	linear
0002	中华民族	zhonghuaminzu	linear
0003	的	de	linear
0004	母亲河	muqinhe	linear
0005	发源	fayuan	linear
0006	于	yu	linear
0007	青藏高原	qingzanggaoyuan	linear
0008	汇	hui	linear
0009	百川	baichuan	linear
0010	入海	ruhai	linear
0011	滋养	ziyang	linear
0012	了	le	linear
0013	源远流长	yuanyuanliuchang	linear
0014	的	de	linear
0015	中华文明	zhonghuawenming	linear
0016	是	shi	linear
0017	中华民族	zhonghuaminzu	linear
0018	发展	fazhan	linear
0019	的	de	linear
0020	重要	zhongyao	linear
0021	支撑	zhicheng	linear
0022	总书记	zongshuji	linear
0023	指出	zhichu	linear
0024	长江	changjiang	linear
0025	拥有	yongyou	linear
0026	独特	dute	linear
0027	的	de	linear
0028	生态系统	shengtaixitong	linear
0029	是	shi	linear
0030	我国	woguo	linear
0031	重要	zhongyao	linear
0032	的	de	linear
0033	生态	shengtai	linear
0034	宝库	baoku	linear
0035	当前	dangqian	linear
0036	和	he	linear
0037	今后	jinhou	linear
0038	相当	xiangdang	linear
0039	长	zhang	linear
0040	一个	yige	linear
0041	时期	shiqi	linear
0042	要	yao	linear
0043	把	ba	linear
0044	修复	xiufu	linear
0045	长江	changjiang	linear
0046	生态环境	shengtaihuanjing	linear
0047	摆在	baizai	linear
0048	压倒性	yadaoxing	linear
0049	位置	weizhi	linear
0050	共	gong	linear
0051	抓	zhua	linear
0052	大	da	linear
0053	保护	baohu	linear
0054	不	bu	linear
0055	搞	gao	linear
0056	大	da	linear
0057	开发	kaifa	linear
0058	从	cong	linear
0059	长江	changjiang	linear
0060	源头	yuantou	linear
0061	到	dao	linear
0062	中游	zhongyou	linear
0063	再	zai	linear
0064	到	dao	linear
0065	下游	xiayou	linear
0066	那些	naxie	linear
0067	以	yi	linear
0068	长江	changjiang	linear
0069	为名	weiming	linear
0070	的	de	linear
0071	村庄	cunzhuang	linear
0072	同饮	tongyin	linear
0073	一	yi	linear
0074	江水	jiangshui	linear
0075	共护	gonghu	linear
0076	母亲河	muqinhe	linear
0077	近日	jinri	linear
0078	记者	jizhe	linear
0079	来到	laidao	linear
0080	长江	changjiang	linear
0081	上中下游	shangzhongxiayou	linear
0082	的	de	linear
0083	三个	sange	linear
0084	长江	changjiang	linear
0085	村	cun	linear
0086	聆听	lingting	linear
0087	这些	zhexie	linear
0088	依江而生	yijiangersheng	linear
0089	因江而兴	yinjiangerxing	linear
0090	的	de	linear
0091	村落	cunluo	linear
0092	唱响	changxiang	linear
0093	新	xin	linear
