# K160 — 城巴789线
# persons: 

0001	城巴线	chengbaxian	linear
0002	是	shi	linear
0003	香港城	xianggangcheng	linear
0004	巴	ba	linear
0005	营运	yingyun	linear
0006	的	de	linear
0007	一条	yitiao	linear
0008	香港岛	xianggangdao	linear
0009	特快	tekuai	linear
0010	巴士	bashi	linear
0011	路线	luxian	linear
0012	来往	laiwang	linear
0013	小西	xiaoxi	linear
0014	湾	wan	linear
0015	蓝湾	lanwan	linear
0016	半岛	bandao	linear
0017	及	ji	linear
0018	金钟	jinzhong	linear
0019	乐礼街	lelijie	linear
0020	本线	benxian	linear
0021	是	shi	linear
0022	港岛	gangdao	linear
0023	市区	shiqu	linear
0024	编号	bianhao	linear
0025	最大	zuida	linear
0026	的	de	linear
0027	专营	zhuanying	linear
0028	非过	feiguo	linear
0029	海	hai	linear
0030	巴士	bashi	linear
0031	路线	luxian	linear
0032	简介	jianjie	linear
0033	及	ji	linear
0034	历史	lishi	linear
0035	年月日	nianyueri	linear
0036	本	ben	linear
0037	线	xian	linear
0038	投入	touru	linear
0039	服务	fuwu	linear
0040	以	yi	linear
0041	循环	xunhuan	linear
0042	线	xian	linear
0043	形式	xingshi	linear
0044	运作	yunzuo	linear
0045	来往	laiwang	linear
0046	小西	xiaoxi	linear
0047	湾	wan	linear
0048	蓝湾	lanwan	linear
0049	半岛	bandao	linear
0050	及	ji	linear
0051	金钟	jinzhong	linear
0052	依	yi	linear
0053	的	de	linear
0054	行车	xingche	linear
0055	路线	luxian	linear
0056	行驶	xingshi	linear
0057	但于	danyu	linear
0058	夏悫	xiaque	linear
0059	道	dao	linear
0060	海富	haifu	linear
0061	中心	zhongxin	linear
0062	折返	zhefan	linear
0063	袛	di	linear
0064	于	yu	linear
0065	平日	pingri	linear
0066	早上	zaoshang	linear
0067	至	zhi	linear
0068	黄昏	huanghun	linear
0069	提供	tigong	linear
0070	服务	fuwu	linear
0071	线	xian	linear
0072	在线	zaixian	linear
0073	服务	fuwu	linear
0074	时段	shiduan	linear
0075	内	nei	linear
0076	不停	buting	linear
0077	金钟	jinzhong	linear
0078	配合	peihe	linear
0079	港岛	gangdao	linear
0080	东区	dongqu	linear
0081	路线	luxian	linear
0082	重组	chongzu	linear
0083	本	ben	linear
0084	线	xian	linear
0085	提升	tisheng	linear
0086	至	zhi	linear
0087	每天	meitian	linear
0088	全日	quanri	linear
0089	服务	fuwu	linear
0090	及	ji	linear
0091	延长	yanchang	linear
0092	服务	fuwu	linear
0093	时间	shijian	linear
0094	至	zhi	linear
0095	凌晨	lingchen	linear
0096	取消	quxiao	linear
0097	循环	xunhuan	linear
0098	运作	yunzuo	linear
0099	并	bing	linear
0100	以	yi	linear
0101	金钟	jinzhong	linear
0102	乐礼街	lelijie	linear
0103	作	zuo	linear
0104	总站	zongzhan	linear
0105	由	you	linear
0106	金钟	jinzhong	linear
0107	开出	kaichu	linear
0108	后	hou	linear
0109	改	gai	linear
0109	经	jing	linear
0110	轩尼诗	xuannishi	linear
0111	道	dao	linear
0112	菲林	feilin	linear
0113	明	ming	linear
0114	道	dao	linear
0115	湾仔	wanzai	linear
0116	道	dao	linear
0117	摩利	moli	linear
0118	臣	chen	linear
0119	山道	shandao	linear
0120	坚拿道	jiannadao	linear
0121	西	xi	linear
0122	坚拿道	jiannadao	linear
0123	天桥	tianqiao	linear
0124	告士	gaoshi	linear
0125	打道	dadao	linear
0126	维园	weiyuan	linear
0127	道	dao	linear
0128	返回	fanhui	linear
0129	东区	dongqu	linear
0130	走廊	zoulang	linear
0131	原有	yuanyou	linear
0132	路线	luxian	linear
0133	然后	ranhou	linear
0134	依	yi	linear
0134	新巴	xinba	linear
0135	线	xian	linear
0136	的	de	linear
0137	行车	xingche	linear
0138	路线	luxian	linear
0139	返回	fanhui	linear
0140	小西	xiaoxi	linear
0141	湾	wan	linear
0142	即	ji	linear
0143	途经	tujing	linear
0144	渔湾	yuwan	linear
0145	邨	cun	linear
0146	一段	yiduan	linear
0147	的	de	linear
0148	柴湾	chaiwan	linear
0149	道	dao	linear
0150	以	yi	linear
0151	取代	qudai	linear
0152	城巴	chengba	linear
0153	线于	xianyu	linear
0154	金钟	jinzhong	linear
0155	及	ji	linear
0156	湾仔	wanzai	linear
0157	轩尼诗	xuannishi	linear
0158	道	dao	linear
0159	一带	yidai	linear
0160	的	de	linear
0161	服务	fuwu	linear
0162	本	ben	linear
0163	线	xian	linear
0164	缩短	suoduan	linear
