# E012 — 为了患者的一个心愿 (医疗健康)
# Persons skipped: 徐赫, 郎军添

0001	为了	weile	linear
0002	患者	huanzhe	linear
0003	的	de	linear
0004	一个	yige	linear
0005	心愿	xinyuan	linear
0006	月末	yuemo	linear
0007	的	de	linear
0008	清晨	qingchen	linear
0009	云南	yunnan	linear
0010	墨江	mojiang	linear
0011	哈尼族	hanizu	linear
0012	自治县	zizhixian	linear
0013	人民医院	renminyiyuan	linear
0014	五官科	wuguanke	linear
0015	住院部	zhuyuanbu	linear
0016	出现	chuxian	linear
0017	了	le	linear
0018	一个	yige	linear
0019	佝偻	goulou	linear
0020	的	de	linear
0021	身影	shenying	linear
0022	上海	shanghai	linear
0023	瑞金医院	ruijinyiyuan	linear
0024	援滇	yuandian	linear
0025	帮扶	bangfu	linear
0026	专家	zhuanjia	linear
0027	医生	yisheng	linear
0028	交完班	jiaowanban	linear
0029	正	zheng	linear
0030	准备	zhunbei	linear
0031	去	qu	linear
0032	门诊	menzhen	linear
0033	时	shi	linear
0034	岁	sui	linear
0035	的	de	linear
0036	吴爷爷	wuyeye	linear
0037	拦住	lanzhu	linear
0038	了	le	linear
0039	他	ta	linear
0040	一周	yizhou	linear
0041	内	nei	linear
0042	吴爷爷	wuyeye	linear
0043	已经	yijing	linear
0044	是	shi	linear
0045	第三次	disanci	linear
0046	到访	daofang	linear
0047	了	le	linear
0048	他	ta	linear
0049	的	de	linear
0050	诉求	suqiu	linear
0051	只有	zhiyou	linear
0052	一个	yige	linear
0053	请	qing	linear
0054	上海	shanghai	linear
0055	专家	zhuanjia	linear
0056	为	wei	linear
0057	他	ta	linear
0058	做	zuo	linear
0059	手术	shoushu	linear
0060	割掉	gediao	linear
0061	一个	yige	linear
0062	长	zhang	linear
0063	在	zai	linear
0064	脸上	lianshang	linear
0065	的	de	linear
0066	黑色	heise	linear
0067	肿瘤	zhongliu	linear
0068	这个	zhege	linear
0069	诉求	suqiu	linear
0070	让	rang	linear
0071	医生	yisheng	linear
0072	犯了难	fanlenan	linear
0073	吴爷爷	wuyeye	linear
0074	患有	huanyou	linear
0075	晚期	wanqi	linear
0076	恶性	exing	linear
0077	黑色素瘤	heisesuliu	linear
0078	已	yi	linear
0079	多处	duochu	linear
0080	转移	zhuanyi	linear
0081	长	zhang	linear
0082	在	zai	linear
0083	右侧	youce	linear
0084	鼻孔	bikong	linear
0085	的	de	linear
0086	肿瘤	zhongliu	linear
0087	就是	jiushi	linear
0088	一个	yige	linear
0089	转移灶	zhuanyizao	linear
0090	他	ta	linear
0091	还	hai	linear
0092	患有	huanyou	linear
0093	尿毒症	niaoduzheng	linear
0094	高血压	gaoxueya	linear
0095	冠心病	guanxinbing	linear
0096	等	deng	linear
0097	从	cong	linear
0098	治病	zhibing	linear
0099	角度	jiaodu	linear
0100	看	kan	linear
0101	手术	shoushu	linear
0102	治疗	zhiliao	linear
0103	意义	yiyi	linear
0104	不大	buda	linear
0105	还有	haiyou	linear
0106	诸多	zhuduo	linear
0107	风险	fengxian	linear
0108	在	zai	linear
0109	的	de	linear
0110	要求	yaoqiu	linear
0111	下	xia	linear
0112	当天	dangtian	linear
0113	下午	xiawu	linear
0114	吴爷爷	wuyeye	linear
0115	的	de	linear
0116	老伴	laoban	linear
0117	来到	laidao	linear
0118	医院	yiyuan	linear
0119	告诉	gaosu	linear
0120	她	ta	linear
0121	大爷	daye	linear
0122	这个	zhege	linear
0123	肿瘤	zhongliu	linear
0124	已经	yijing	linear
0125	在	zai	linear
0126	全身	quanshen	linear
0127	多处	duochu	linear
0128	转移	zhuanyi	linear
0129	目前	muqian	linear
0130	治疗	zhiliao	linear
0131	手段	shouduan	linear
0132	有限	youxian	linear
0133	单纯	danchun	linear
0134	切除	qiechu	linear
0135	脸上	lianshang	linear
0136	的	de	linear
0137	肿瘤	zhongliu	linear
0138	对	dui	linear
0139	疾病	jibing	linear
0140	没有	meiyou	linear
0141	帮助	bangzhu	linear
0142	甚至	shenzhi	linear
0143	会	hui	linear
0144	刺激	ciji	linear
0145	肿瘤	zhongliu	linear
0146	局部	jubu	linear
0147	切除	qiechu	linear
0148	还	hai	linear
0149	涉及	sheji	linear
0150	面部	mianbu	linear
0151	缺损	quesun	linear
0152	修复	xiufu	linear
0153	术后	shuhou	linear
0154	可能	keneng	linear
0155	会有	huiyou	linear
0156	刀口	daokou	linear
0157	长不好	zhangbuhao	linear
0158	感染	ganran	linear
0159	的	de	linear
0160	问题	wenti	linear
0161	肿瘤	zhongliu	linear
0162	局部	jubu	linear
0163	复发	fufa	linear
0164	的	de	linear
0165	可能性	kenengxing	linear
0166	也	ye	linear
0167	不小	buxiao	linear
0168	大爷	daye	linear
0169	可能	keneng	linear
0170	只	zhi	linear
0171	剩下	shengxia	linear
0172	半年	bannian	linear
0173	左右	zuoyou	linear
0174	时间	shijian	linear
0175	这个	zhege	linear
0176	手术	shoushu	linear
0177	我们	women	linear
0178	还做	haizuo	linear
0179	吗	ma	linear
0180	如果	ruguo	linear
0181	老伴	laoban	linear
0182	想做	xiangzuo	linear
0183	我	wo	linear
0184	支持	zhichi	linear
0185	他	ta	linear
0186	吴爷爷	wuyeye	linear
0187	的	de	linear
0188	老伴	laoban	linear
0189	回答	huida	linear
0190	经过	jingguo	linear
0191	更	geng	linear
0192	详细	xiangxi	linear
0193	的	de	linear
0194	体格	tige	linear
0195	检查	jiancha	linear
0196	发现	faxian	linear
0197	吴爷爷	wuyeye	linear
0198	左	zuo	linear
0199	脚趾	jiaozhi	linear
0200	也	ye	linear
0201	有	you	linear
0202	转移	zhuanyi	linear
0203	的	de	linear
0204	肿瘤	zhongliu	linear
0205	还会	haihui	linear
0206	流出	liuchu	linear
0207	血水	xueshui	linear
0208	散发	sanfa	linear
0209	恶臭	echou	linear
0210	吴爷爷	wuyeye	linear
0211	很	hen	linear
0212	苦恼	kunao	linear
0213	想	xiang	linear
0214	把	ba	linear
0215	脚上	jiaoshang	linear
0216	的	de	linear
0217	瘤子	liuzi	linear
0218	也	ye	linear
0219	去掉	qudiao	linear
0220	后来	houlai	linear
0221	由	you	linear
0222	发起	faqi	linear
0223	墨江县	mojiangxian	linear
