# code	word	type	freq	source
#
# Library file — single source of truth for the nihongo dict.
# Editing rules (2026-06-03+ 治理 architecture):
#
#   - ADD/MODIFY (Class A 加词): hand-add row with source=polish.
#     `make polish-rebuild` propagates the change to jukugo.idf / kanji.idf.
#
#   - DELETE wrong entry (Class D1): delete row + append to
#     `tools/scoring/data/corpus_garbage_filter_v1.tsv`.
#
#   - HIDE valid entry from Path-1 (Class D2): tier_overlay.tsv tier 5+
#     (nihongo side hasn't needed a separate exclusions file yet).
#
#   - INGEST upstream corpus (e.g. mozc, EDICT): corpus-digest tool (TBD),
#     writes source=digested + appends digest_log event.
#
# Schema columns:
#   code   romaji reading (Hepburn, lowercase, no macrons)
#   word   output string (kanji char OR jukugo compound)
#   type   "kanji" | "jukugo"
#   freq   raw frequency (u32, 0-100 in current legacy scale)
#   source "digested" | "polish"
#
arigatou	ありがとう	jukugo	100	digested
arigatougozaimasu	ありがとうございます	jukugo	100	digested
ashita	明日	jukugo	100	digested
baai	場合	jukugo	100	digested
daigaku	大学	jukugo	100	digested
de	で	jukugo	100	digested
denki	電気	jukugo	100	digested
densha	電車	jukugo	100	digested
denwa	電話	jukugo	100	digested
doko	何処	jukugo	100	digested
e	へ	jukugo	100	digested
eiga	映画	jukugo	100	digested
eigo	英語	jukugo	100	digested
ga	が	jukugo	100	digested
gakkou	学校	jukugo	100	digested
gakusei	学生	jukugo	100	digested
genzai	現在	jukugo	100	digested
henkan	変換	jukugo	100	digested
igai	以外	jukugo	100	digested
igo	以後	jukugo	100	digested
ihoku	以北	jukugo	100	digested
ijou	以上	jukugo	100	digested
ikou	以降	jukugo	100	digested
inai	以内	jukugo	100	digested
inan	以南	jukugo	100	digested
ippou	一方	jukugo	100	digested
jibun	自分	jukugo	100	digested
jikan	時間	jukugo	100	digested
jiko	事故	jukugo	100	digested
jiko	自己	jukugo	100	digested
jishin	地震	jukugo	100	digested
jishin	自身	jukugo	100	digested
joshi	女史	jukugo	100	digested
joshi	女子	jukugo	100	digested
jouhou	情報	jukugo	100	digested
joukyou	上京	jukugo	100	digested
joukyou	状況	jukugo	100	digested
kaisha	会社	jukugo	100	digested
katei	家庭	jukugo	100	digested
katei	課程	jukugo	100	digested
katei	過程	jukugo	100	digested
kazoku	家族	jukugo	100	digested
kekka	結果	jukugo	100	digested
kikai	機会	jukugo	100	digested
kikai	機械	jukugo	100	digested
kikan	期間	jukugo	100	digested
kikan	機関	jukugo	100	digested
kiki	危機	jukugo	100	digested
kiki	機器	jukugo	100	digested
kinou	昨日	jukugo	100	digested
kodomo	子供	jukugo	100	digested
konnichiwa	こんにちは	jukugo	100	digested
kotoshi	今年	jukugo	100	digested
kouhan	後半	jukugo	100	digested
kouza	口座	jukugo	100	digested
kouza	講座	jukugo	100	digested
kyou	今日	jukugo	100	digested
kyouto	京都	jukugo	100	digested
mainichi	毎日	jukugo	100	digested
miman	未満	jukugo	100	digested
mondai	問題	jukugo	100	digested
nanigoto	何事	jukugo	100	digested
ni	に	jukugo	100	digested
nihon	日本	jukugo	100	digested
nihongo	日本語	jukugo	100	digested
ohayou	おはよう	jukugo	100	digested
ongaku	音楽	jukugo	100	digested
oosaka	大阪	jukugo	100	digested
ryouri	料理	jukugo	100	digested
sekai	世界	jukugo	100	digested
sensei	先生	jukugo	100	digested
shigoto	仕事	jukugo	100	digested
shiyou	仕様	jukugo	100	digested
shiyou	使用	jukugo	100	digested
shiyou	試用	jukugo	100	digested
suru	する	jukugo	100	digested
teikou	抵抗	jukugo	100	digested
tenki	天気	jukugo	100	digested
tomodachi	友達	jukugo	100	digested
totan	途端	jukugo	100	digested
toukyou	東京	jukugo	100	digested
tsudo	都度	jukugo	100	digested
wa	は	jukugo	100	digested
wo	を	jukugo	100	digested
yasaki	矢先	jukugo	100	digested
chotto	ちょっと	jukugo	98	digested
daijoubu	大丈夫	jukugo	98	digested
hai	はい	jukugo	98	digested
honto	ほんと	jukugo	98	digested
ii	いい	jukugo	98	digested
iku	行く	jukugo	98	digested
ima	今	jukugo	98	digested
kore	これ	jukugo	98	digested
mou	もう	jukugo	98	digested
