# Batch 3 — freq 20k-25k AA-redup sweep (C bucket).
# Strategy: default-keep; surgical deletes only — names + childlike
# duplicates + weak colloquial pronouns. ~85% of C bucket stays.
# Schema: code\tword\treason
weiwei	薇薇	name
youyou	友友	name
maomao	猫猫	childlike_duplicate
shuaishuai	帅帅	name
lili	丽丽	name
shasha	莎莎	name
doudou	兜兜	childlike_duplicate
sisi	思思	name
zhuzhu	猪猪	childlike_duplicate
qiuqiu	球球	childlike_duplicate
chenchen	晨晨	name
duoduo	朵朵	weak_colloquial
keke	科科	name
sheishei	谁谁	weak_colloquial
sheishui	谁谁	weak_colloquial
shuishei	谁谁	weak_colloquial
shuishui	谁谁	weak_colloquial
xiuxiu	修修	name
feifei	飞飞	name
lulu	露露	name
bianbian	便便	childlike_duplicate
qiqi	琪琪	name
tutu	兔兔	childlike_duplicate
jingjing	晶晶	name
huihui	灰灰	weak_colloquial
lingling	玲玲	name
beibei	贝贝	childlike_duplicate
niuniu	妞妞	childlike_duplicate
shasha	啥啥	weak_colloquial
pipi	屁屁	childlike_duplicate
jiajia	佳佳	name
dandan	丹丹	name
zhouzhou	周周	name
shishi	诗诗	name
didi	迪迪	name
feifei	菲菲	name
nini	妮妮	name
meimei	梅梅	name
tutu	图图	name
binbin	彬彬	name
bobo	啵啵	childlike_duplicate
jiajia	加加	childlike_duplicate
nini	尼尼	childlike_duplicate
tangtang	糖糖	childlike_duplicate
lulu	璐璐	name
fangfang	芳芳	name
momo	嬷嬷	weak_colloquial
taotao	韬韬	name
junjun	军军	name
taotao	涛涛	name
