# Corpus garbage interception filter — `(code, word)` pairs that
# must NOT enter `weights.tsv` when regenerating from upstream
# corpora.
#
# Purpose (long-term design call 2026-06-03 per user directive
# "我不认为我们的源码中还应该存在有别人来源命名的 corpus，导入过程
# 应该是落在'吸收'，在那时候就要做好去重、解决冲突以及拦截垃圾"):
# upstream corpora (jieba phrase tables, SUBTLEX, mozc, etc.) ship
# with noise that polish-log has flagged as wrong. Instead of
# letting that noise re-enter `weights.tsv` every time
# `pinyin-build-weights` regenerates from corpora, this file holds
# the running list of "we already judged this garbage, do not
# re-admit". The absorption pipeline (not yet wired) will consult
# this filter before writing a row.
#
# This file does NOT participate in the polish-rebuild chain — it
# is consumed only at full corpus regen time. Today, when a polish
# action does a D1 delete (remove the row from weights.tsv
# directly), we ALSO append a row here. The dual-record keeps the
# delete idempotent across future regens.
#
# Format:
#   <code>\t<word>\t<reason_date>[\t# longer note]
#
# Status: PLACEHOLDER 2026-06-03. The pinyin-build-weights wiring
# to consult this file is corpus-治理 phase work, scheduled for
# the next regen cycle. For now this is an audit log of D1
# decisions; populating it preserves the intent.

# 2026-06-03 user: "次贫 可意 不存在" — both jieba sub-word noise
# (literal char concat, not real Chinese words). Deleted from
# weights.tsv at commit `2a65806`.
cipin	次贫	2026-06-03
keyi	可意	2026-06-03

# 2026-06-03 D1 audit batch — 15 entries from exclusions_v1.tsv
# reclassified to D1 per user "处理 D1" directive. All character-
# concatenation noise from jieba sub-word extraction; no real
# Chinese word, no path benefits from keeping in dict.
xianzai	先在	2026-06-03
xianzai	先宰	2026-06-03
xianzai	先载	2026-06-03
zhege	这歌	2026-06-03
zhege	著各	2026-06-03
yige	一歌	2026-06-03
yige	翼各	2026-06-03
keyi	课以	2026-06-03
meiyou	魅友	2026-06-03
haishi	嗨氏	2026-06-03
kandao	砍到	2026-06-03	# 中信心 — jieba may have over-segmented 砍+到 verb-complement
kandao	刊到	2026-06-03
haiyou	嗨呦	2026-06-03	# 中信心 — interjection sub-word
suoyi	索移	2026-06-03
suoyi	所译	2026-06-03

# 2026-06-03 user: "mo 第三个万是哪来的" — 万 standard pinyin is "wan",
# corpus noise (legacy ingest absorbed via weighted merge, no per-row
# provenance to trace which upstream introduced it). freq 45834 was high
# enough to land at #2 in mo top-10. D1 delete + future-proof entry.
mo	万	2026-06-03

# 2026-06-03 user: "剑持 这不是个词" — character-by-character literal
# pinyin concat (剑 jiàn + 持 chí), not a real Chinese word. jieba/corpus
# noise. D1 delete from library.tsv + future-proof entry.
jianchi	剑持	2026-06-03

# 2026-06-04 user: "tuli 土里、图里、土利,埋在土里这时候土里才有点意义".
# 土里 / 图里 / 土粒 are jieba sub-word / forced concatenation noise —
# 土里 only meaningful in 埋在土里, 图里 only in compounds like
# 图里有, 土粒 is forced 土+粒 not a 词.  D1 delete from library.tsv.
# Real word 图利 (图谋利益) and 图例 (legend) kept.
tuli	土里	2026-06-04
tuli	图里	2026-06-04
tuli	土粒	2026-06-04

# 2026-06-05 user: "jianti 间体 不是个词". Standalone 间体 doesn't
# exist as a Chinese word — appears only as substring of compounds
# like 中间体 (chemistry: intermediate) / 空间体系 (spatial system),
# which are their own dict entries and unaffected by this delete.
# Classic jieba sub-word noise.
jianti	间体	2026-06-05

# 2026-06-06 user: "jiaozhu 叫朱 较著 椒猪 交住 这些都不算是中文词汇吧".
# All four are jieba 主词典 sub-word noise from the 24757-row pinyin
# legacy external ingest (digest_log.toml event 结巴中文分词词典
# 主词典 dict.txt). None standalone Chinese words:
#   叫朱  字字直拼 jiào+zhū
#   较著  古汉语残留, "更显著" 词缀感, 现代无独立用法
#   椒猪  字字直拼 jiāo+zhū
#   交住  字字直拼 jiāo+zhù (close to 抓住/接住 but not a real word)
# Real jiaozhu words preserved: 教主/叫住/浇筑/脚注/校注/浇铸.
jiaozhu	叫朱	2026-06-06
jiaozhu	较著	2026-06-06
jiaozhu	椒猪	2026-06-06
jiaozhu	交住	2026-06-06
# jianma 捡骂 — jieba sub-word noise (捡+骂 verb-verb concat, not a real word).
# User 2026-06-06: "捡骂 剑麻 不应该出现，他们不是词".
jianma	捡骂	2026-06-06

# 2026-06-06 systemic wubi 繁体 sweep — user "拼音[corrected→五笔]结果中有
# 很多繁体的结果，这肯定不是 nihongokanji 打出来的" → "詞要的不是沉，而是
# 不应该有，要打开繁体模式才能有" → "你系统解决吧".  Deleted every (code,
# trad_word) entry from wubi/library.tsv where opencc t2s(trad_word) !=
# trad_word AND the same code already has a simplified peer.  Orphan TRAD
# entries (no same-code simp peer, ~2953 of them) preserved — deleting
# them silently kills wubi lookup for those chars; wait for the 繁体-mode
# toggle feature before clearing those.
acbm	蕷	2026-06-06
admt	蕆	2026-06-06
admy	項	2026-06-06
afmi	貳	2026-06-06
agaj	荊	2026-06-06
ahkm	賾	2026-06-06
ahkm	頤	2026-06-06
ahtb	𪘯	2026-06-06
ajdc	驀	2026-06-06
akgq	覲	2026-06-06
akhm	匱	2026-06-06
akhm	蕢	2026-06-06
akkm	顴	2026-06-06
alpu	蓮	2026-06-06
alvv	匭	2026-06-06
amjj	萴	2026-06-06
amu	貢	2026-06-06
anml	勩	2026-06-06
anmu	貰	2026-06-06
aplj	葷	2026-06-06
aukf	蔄	2026-06-06
auwy	藺	2026-06-06
awgt	蘞	2026-06-06
awwq	覡	2026-06-06
axaf	葒	2026-06-06
axfu	葤	2026-06-06
axgn	蒓	2026-06-06
axjl	藴	2026-06-06
axqy	葯	2026-06-06
ayjn	藹	2026-06-06
bhic	騭	2026-06-06
bkhm	聵	2026-06-06
bkhm	隤	2026-06-06
bkmy	隕	2026-06-06
blh	陣	2026-06-06
cadw	騏	2026-06-06
cbci	驟	2026-06-06
cbdm	預	2026-06-06
cbn	馳	2026-06-06
cbtc	騖	2026-06-06
cbtm	䂎	2026-06-06
cccm	顙	2026-06-06
cckg	駘	2026-06-06
ccwt	駿	2026-06-06
ccy	馭	2026-06-06
ccyj	騷	2026-06-06
cdfa	𩣺	2026-06-06
cdjd	騑	2026-06-06
cdri	騵	2026-06-06
cdsk	騎	2026-06-06
cdwj	䮞	2026-06-06
cdy	馱	2026-06-06
cegg	駔	2026-06-06
cexd	騱	2026-06-06
cfhw	𩥄	2026-06-06
cfkg	𩢴	2026-06-06
cfsh	驦	2026-06-06
cgig	駓	2026-06-06
cgkj	𩤲	2026-06-06
cgkl	䮠	2026-06-06
cjg	馹	2026-06-06
cjgh	騠	2026-06-06
cjng	𩥑	2026-06-06
cjqn	騔	2026-06-06
cjsy	騍	2026-06-06
ckh	馴	2026-06-06
ckqy	駛	2026-06-06
cldy	駰	2026-06-06
cleg	𩤸	2026-06-06
clg	駟	2026-06-06
clxi	騾	2026-06-06
cmdy	駚	2026-06-06
cmfg	𩢡	2026-06-06
cmg	駎	2026-06-06
cmgk	駧	2026-06-06
cmgn	騁	2026-06-06
cmkg	駉	2026-06-06
cmu	貟	2026-06-06
cnae	𩥇	2026-06-06
cnbb	驏	2026-06-06
cnnk	駶	2026-06-06
cnwy	駃	2026-06-06
coqh	驎	2026-06-06
cpfi	騌	2026-06-06
cplh	䮝	2026-06-06
cpvg	𩣑	2026-06-06
cpxn	駝	2026-06-06
cqkg	駒	2026-06-06
cqqy	駁	2026-06-06
cqrm	騊	2026-06-06
cqyl	騮	2026-06-06
crwy	䭿	2026-06-06
csfi	驃	2026-06-06
ctey	𩢸	2026-06-06
ctfq	駪	2026-06-06
ctkg	駱	2026-06-06
ctln	驄	2026-06-06
