打电话	75000
打车	68000
打字	55000
打游戏	62000
打篮球	48000
打球	42000
打架	38000
打工	58000
打开	72000
打扫	45000
打卡	52000
打印	48000
打折	45000
打盹	18000
打哈欠	22000
打喷嚏	25000
打雷	32000
打雨伞	15000
打太极	18000
打麻将	35000
打盹儿	12000
做饭	72000
做菜	58000
做事	62000
做工作	35000
做练习	38000
做作业	55000
做选择	45000
做决定	58000
做调查	42000
做研究	52000
做计划	55000
做笔记	48000
做记录	38000
做总结	45000
做演示	28000
做汇报	32000
吃饭	78000
吃菜	48000
吃肉	52000
吃药	58000
吃糖	35000
吃醋	38000
吃亏	42000
吃苦	45000
吃力	32000
吃惊	48000
吃货	42000
吃瓜	45000
吃早饭	52000
吃午饭	48000
吃晚饭	55000
吃宵夜	28000
吃自助餐	22000
喝水	68000
喝茶	58000
喝咖啡	55000
喝酒	62000
喝牛奶	48000
喝粥	32000
喝汤	48000
喝果汁	35000
喝奶茶	52000
看电视	68000
看电影	72000
看书	72000
看报	28000
看新闻	58000
看视频	62000
看手机	65000
看时间	48000
看医生	52000
看牙医	28000
看眼科	18000
看望	38000
说话	78000
说事	32000
说谎	45000
说笑	28000
说服	48000
说明	72000
说话算数	18000
说真的	35000
听音乐	68000
听课	52000
听讲	35000
听话	58000
听说	72000
听见	62000
听懂	55000
读书	68000
读文章	38000
读报	22000
读懂	45000
写字	58000
写信	48000
写诗	32000
写文章	48000
写代码	52000
写作业	55000
写日记	38000
跑步	62000
跑腿	38000
跑路	32000
跑题	28000
上学	68000
上课	72000
上班	78000
上网	62000
上街	38000
上车	52000
上当	35000
上瘾	38000
上当受骗	22000
下班	75000
下课	62000
下车	58000
下楼	48000
下雨	68000
下雪	52000
下棋	38000
下定决心	22000
开会	68000
开车	72000
开门	58000
开学	55000
开始	78000
开心	72000
开口	48000
开火	32000
开玩笑	58000
开口说话	18000
关门	55000
关心	68000
关注	72000
关系	78000
关键	72000
回家	75000
回来	72000
回去	68000
回头	48000
回信	38000
回复	62000
回避	42000
回应	52000
点头	48000
点菜	52000
点单	35000
点击	62000
点赞	58000
点亮	32000
拿出	58000
拿来	52000
拿走	48000
拿手	28000
拿主意	22000
拿不准	18000
找人	48000
找事	32000
找工作	62000
找借口	35000
找麻烦	42000
办事	52000
办公	48000
办法	72000
办公室	68000
办手续	32000
查资料	42000
查字典	28000
查询	58000
查找	48000
洗澡	62000
洗脸	48000
洗手	52000
洗衣服	52000
洗碗	42000
洗头	38000
睡觉	75000
睡懒觉	28000
睡不着	38000
睡过头	22000
好朋友	72000
好同学	48000
好同事	42000
好邻居	32000
好消息	68000
好主意	52000
好心情	48000
好天气	45000
好身材	38000
好运气	42000
老朋友	68000
老同学	58000
老同事	48000
老熟人	32000
老地方	38000
老规矩	35000
老传统	32000
老习惯	38000
老毛病	35000
老问题	38000
老师傅	32000
新朋友	48000
新同事	38000
新工作	52000
新公司	48000
新产品	58000
新功能	52000
新方案	42000
新生活	48000
新机会	45000
新挑战	38000
大事	58000
小事	62000
难事	28000
好事	58000
坏事	48000
怪事	32000
大问题	52000
小问题	48000
真问题	22000
难题	48000
快乐	72000
难过	58000
幸福	68000
痛苦	58000
高兴	72000
失望	52000
担心	68000
紧张	62000
兴奋	58000
安心	48000
重要	78000
重大	62000
关键	72000
必要	62000
必需	38000
必然	48000
必备	42000
必读	28000
必看	32000
有用	58000
无用	32000
有趣	62000
无趣	28000
有意思	58000
没意思	38000
有道理	48000
没道理	35000
可爱	68000
可怕	58000
可怜	48000
可悲	28000
可惜	52000
可以	78000
可能	78000
可观	28000
可笑	38000
