人	jin,nin,hito	100
日	nichi,jitsu,hi,ka	100
本	hon,moto	98
時	ji,toki	88
分	bun,fun,bu,wakeru	95
大	dai,tai,oo	97
中	chuu,naka	96
一	ichi,itsu,hito	99
国	koku,kuni	94
年	nen,toshi	93
出	shutsu,sui,deru,dasu	92
上	jou,shou,ue,kami,noboru	91
十	juu,jutsu,too	90
小	shou,ko,o,chiisai	89
下	ka,ge,shita,shimo,kudaru	88
見	ken,miru,mieru,miseru	87
何	ka,nan,nani	86
事	ji,zu,koto	85
気	ki,ke	84
立	ritsu,ryuu,tatsu	83
来	rai,kuru,kitaru	82
今	kon,kin,ima	81
行	kou,gyou,an,iku,yuku,okonau	80
私	shi,watashi	79
家	ka,ke,ie,ya	78
方	hou,kata	77
新	shin,atarashii,arata	76
聞	bun,mon,kiku	75
発	hatsu,hotsu	74
高	kou,takai,taka	73
百	hyaku	72
千	sen,chi	71
万	man,ban	70
円	en,marui	69
学	gaku,manabu	68
生	sei,shou,ikiru,umareru,nama	67
先	sen,saki	66
山	san,yama	65
川	sen,kawa	64
田	den,ta	63
口	kou,ku,kuchi	62
名	mei,myou,na	61
水	sui,mizu	60
火	ka,hi	59
木	moku,boku,ki,ko	58
金	kin,kon,gon,kane,kana	57
土	do,to,tsuchi	56
左	sa,hidari	55
右	yuu,u,migi	54
東	tou,higashi	53
西	sei,sai,nishi	52
南	nan,na,minami	51
北	hoku,kita	50
父	fu,chichi	49
母	bo,haha	48
子	shi,su,ko	47
女	jo,nyo,nyou,onna,me	46
男	dan,nan,otoko	45
車	sha,kuruma	44
電	den	43
語	go,kataru	42
読	doku,toku,tou,yomu	41
書	sho,kaku	40
会	kai,e,au	39
社	sha,yashiro	38
休	kyuu,yasumu	37
体	tai,tei,karada	36
力	ryoku,riki,chikara	35
天	ten,ame,ama	34
空	kuu,sora,aku,kara	33
雨	u,ame,ama	32
花	ka,hana	31
草	sou,kusa	30
虫	chuu,mushi	29
犬	ken,inu	28
牛	gyuu,ushi	27
馬	ba,uma,ma	26
魚	gyo,uo,sakana	25
鳥	chou,tori	24
貝	bai,kai	23
石	seki,shaku,koku,ishi	22
糸	shi,ito	21
竹	chiku,take	20
米	bei,mai,kome	19
麦	baku,mugi	18
肉	niku	17
食	shoku,jiki,kuu,taberu	16
青	sei,shou,ao	15
赤	seki,shaku,akai	14
白	haku,byaku,shiroi	13
黒	koku,kuroi	12
色	shoku,shiki,iro	11
音	on,in,oto	10
楽	gaku,raku,tanoshii	75
正	sei,shou,tadashii	74
直	choku,jiki,tadachi,naoru	73
平	hei,byou,taira	72
和	wa,o,yawaragu	71
夕	seki,yuu	70
朝	chou,asa	69
昼	chuu,hiru	68
夜	ya,yo,yoru	67
週	shuu	66
曜	you	65
月	getsu,gatsu,tsuki	64
半	han,nakaba	63
回	kai,e,mawaru	62
数	suu,su,kazu,kazoeru	61
多	ta,ooi	60
少	shou,sukunai,sukoshi	59
古	ko,furui	58
新	shin,atarashii	57
近	kin,konchikai	56
遠	en,on,tooi	55
近	kin,chikai	56
店	ten,mise	55
工	kou,ku	54
場	jou,ba	53
員	in	52
親	shin,oya,shitashii	51
兄	kei,kyou,ani	50
弟	tei,dai,de,otouto	49
姉	shi,ane	48
妹	mai,imouto	47
夫	fu,fuu,otto	46
妻	sai,tsuma	45
友	yuu,tomo	44
村	son,mura	43
町	chou,machi	42
市	shi,ichi	41
都	to,tsu,miyako	40
京	kyou,kei	39
区	ku	38
道	dou,michi	37
路	ro,ji	36
駅	eki	35
鉄	tetsu	34
線	sen	33
信	shin	32
号	gou	31
所	sho,tokoro	30
地	chi,ji	29
公	kou,ooyake	28
園	en,sono	27
校	kou	26
室	shitsu,muro	25
教	kyou,oshieru	24
室	shitsu	23
門	mon,kado	22
戸	ko,to	21
家	ka,ie	20
宅	taku	19
庭	tei,niwa	18
庫	ko,kura	17
台	dai,tai	16
机	ki,tsukue	15
椅	i	14
本	hon	13
紙	shi,kami	12
帳	chou,tobari	11
筆	hitsu,fude	10
墨	boku,sumi	77
画	ga,kaku	76
絵	e,kai	75
形	kei,gyou,katachi	74
体	tai,karada	73
頭	tou,zu,atama	72
顔	gan,kao	71
目	moku,boku,me,ma	70
耳	ji,mimi	69
鼻	bi,hana	68
口	kou,kuchi	67
歯	shi,ha	66
舌	zetsu,shita	65
首	shu,kubi	64
手	shu,te,ta	63
足	soku,ashi,tariru	62
指	shi,yubi,sasu	61
腕	wan,ude	60
肩	ken,kata	59
胸	kyou,mune	58
腹	fuku,hara	57
背	hai,se,sei	56
腰	you,koshi	55
膝	shitsu,hiza	54
心	shin,kokoro	53
思	shi,omou	52
考	kou,kangaeru	51
知	chi,shiru	50
覚	kaku,oboeru	49
忘	bou,wasureru	48
記	ki,shirusu	47
意	i	46
味	mi,aji	45
感	kan	44
情	jou,sei,nasake	43
動	dou,ugoku	42
活	katsu	41
働	dou,hataraku	40
作	saku,sa,tsukuru	39
仕	shi,ji,tsukaeru	38
業	gyou,gou,waza	37
職	shoku	36
員	in	35
医	i	34
者	sha,mono	33
病	byou,hei,yamai	32
院	in	31
薬	yaku,kusuri	30
看	kan	29
護	go	28
歩	ho,bu,fu,aruku	27
走	sou,hashiru	26
止	shi,tomeru	25
入	nyuu,ju,iru,hairu	24
出	shutsu,deru,dasu	23
帰	ki,kaeru	22
着	chaku,jaku,kiru,tsuku	21
脱	datsu,nugu	20
持	ji,motsu	19
取	shu,toru	18
置	chi,oku	17
売	bai,uru	16
買	bai,kau	15
使	shi,tsukau	14
作	sa,tsukukuru	13
建	ken,kon,tateru	12
立	ritsu,tatsu	11
住	juu,sumu	10
泊	haku,tomaru	77
寝	shin,neru	76
起	ki,okiru	75
寒	kan,samui	74
暑	sho,atsui	73
温	on,atatakai	72
冷	rei,tsumetai,hieru	71
熱	netsu,atsui	70
強	kyou,gou,tsuyoi	69
弱	jaku,yowai	68
重	juu,chou,omoi,kasaneru	67
軽	kei,karui	66
長	chou,nagai	65
短	tan,mijikai	64
広	kou,hiroi	63
狭	kyou,semai	62
深	shin,fukai	61
浅	sen,asai	60
明	mei,myou,akarui	59
暗	an,kurai	58
速	soku,hayai	57
遅	chi,osoi	56
早	sou,sa,hayai	55
高	kou,takai	54
安	an,yasui	53
易	i,eki,yasashii	52
難	nan,muzukashii	51
良	ryou,yoi	50
悪	aku,o,warui	49
美	bi,utsukushii	48
醜	shuu,minikui	47
若	jaku,nyaku,wakai	46
